ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2023-01-01T20:59:59-05:00,"Saturday, Dec 31, 2022","Sunday, Jan 1, 2023",2023-01-01 04:25:00,2023-01-01 11:07:00,06:42:00,00:14:00,00:00:00,1,06:28:00,07:06:17,96.5,88.3,04:32:44,05:24:24,01:41:13,02:29:23,73.3,57.3,83.1,72.4,71.0,55.3,99,116,46,66,,,,,,,,,
2023-01-02T20:59:59-05:00,"Sunday, Jan 1, 2023","Monday, Jan 2, 2023",2023-01-02 01:35:00,2023-01-02 11:35:00,10:00:00,03:32:00,00:00:00,1,06:28:00,07:12:51,64.7,86.4,04:59:13,05:29:31,02:59:05,02:29:28,52.4,57.1,61.6,71.8,50.0,55.6,82,119,65,67,,,,,,,,,
2023-01-03T20:59:59-05:00,"Monday, Jan 2, 2023","Tuesday, Jan 3, 2023",2023-01-03 03:44:00,2023-01-03 12:31:00,08:47:00,00:39:00,00:00:00,1,08:08:00,07:45:25,92.6,87.4,06:06:20,05:48:43,03:18:15,02:36:54,51.9,57.2,64.1,72.4,47.0,55.1,84,120,65,67,,,,,,,,,
2023-01-04T20:59:59-05:00,"Tuesday, Jan 3, 2023","Wednesday, Jan 4, 2023",2023-01-04 04:33:00,2023-01-04 12:40:00,08:07:00,01:03:00,00:00:00,1,07:04:00,07:08:42,87.1,85.8,05:53:39,05:22:18,04:02:17,02:43:25,51.5,57.0,67.9,72.6,57.0,55.9,62,94,49,61,,,,,,,,,
2023-01-05T20:59:59-05:00,"Wednesday, Jan 4, 2023","Thursday, Jan 5, 2023",2023-01-05 03:56:00,2023-01-05 12:16:00,08:20:00,02:06:00,00:00:00,1,06:14:00,06:52:42,74.8,83.6,04:24:02,05:08:12,02:10:05,02:32:53,53.8,57.3,69.2,72.2,49.2,55.6,114,98,45,57,,,,,,,,,
2023-01-06T20:59:59-05:00,"Thursday, Jan 5, 2023","Friday, Jan 6, 2023",2023-01-06 04:42:00,2023-01-06 12:52:00,08:10:00,01:04:00,00:00:00,1,07:06:00,06:56:00,86.9,84.0,04:54:31,05:06:29,02:01:43,02:35:15,51.9,55.6,60.4,69.5,52.0,55.0,77,97,61,58,,,,,,,,,
2023-01-07T20:59:59-05:00,"Friday, Jan 6, 2023","Saturday, Jan 7, 2023",2023-01-07 02:30:00,2023-01-07 10:46:00,08:16:00,00:31:00,00:00:00,1,07:45:00,07:01:51,93.8,85.2,06:30:14,05:20:06,03:35:54,02:49:47,51.2,55.1,84.7,70.1,46.0,53.2,67,83,56,55,,,,,,,,,
2023-01-08T20:59:59-05:00,"Saturday, Jan 7, 2023","Sunday, Jan 8, 2023",2023-01-08 03:55:00,2023-01-08 12:46:00,08:51:00,00:53:00,00:00:00,1,07:58:00,07:14:42,90.0,84.3,06:05:42,05:33:23,03:51:17,03:08:22,58.0,53.0,71.4,68.5,52.0,50.5,73,80,56,57,,,,,,,,,
2023-01-09T20:59:59-05:00,"Sunday, Jan 8, 2023","Monday, Jan 9, 2023",2023-01-09 02:15:00,2023-01-09 09:57:00,07:42:00,00:19:00,00:00:00,1,07:23:00,07:22:34,95.9,88.7,05:35:39,05:38:35,02:33:21,03:04:41,49.8,52.6,64.9,68.9,44.0,49.6,88,81,65,57,,,,,,,,,
2023-01-10T20:59:59-05:00,"Monday, Jan 9, 2023","Tuesday, Jan 10, 2023",2023-01-10 02:00:00,2023-01-10 08:40:00,06:40:00,00:08:00,00:00:00,1,06:32:00,07:08:51,98.0,89.5,05:11:16,05:30:44,02:52:29,03:01:00,52.0,52.6,72.2,70.1,50.0,50.0,148,90,83,59,,,,,,,,,
2023-01-11T20:59:59-05:00,"Tuesday, Jan 10, 2023","Wednesday, Jan 11, 2023",2023-01-11 00:45:00,2023-01-11 09:36:00,08:51:00,01:27:00,00:00:00,1,07:24:00,07:11:42,83.6,89.0,04:40:36,05:20:17,02:02:29,02:43:54,51.3,52.6,62.0,69.3,48.0,48.7,69,91,59,61,,,,,,,,,
2023-01-12T20:59:59-05:00,"Wednesday, Jan 11, 2023","Thursday, Jan 12, 2023",2023-01-12 01:46:00,2023-01-12 09:00:00,07:14:00,01:15:00,00:00:00,1,05:59:00,07:09:34,82.7,90.1,04:16:48,05:19:15,02:20:29,02:45:23,51.5,52.2,63.0,68.4,49.0,48.7,69,85,53,62,,,,,,,,,
2023-01-13T20:59:59-05:00,"Thursday, Jan 12, 2023","Friday, Jan 13, 2023",2023-01-13 02:15:00,2023-01-13 10:55:00,08:40:00,01:05:00,00:00:00,1,07:35:00,07:13:42,87.5,90.2,05:14:18,05:22:05,02:42:30,02:51:12,51.2,52.1,65.8,69.1,54.0,49.0,90,86,78,64,,,,,,,,,
2023-01-14T20:59:59-05:00,"Friday, Jan 13, 2023","Saturday, Jan 14, 2023",2023-01-14 03:15:00,2023-01-14 10:49:00,15:08:00,03:14:00,00:00:00,2,11:54:00,07:49:17,81.1,88.4,09:28:56,05:47:36,06:21:43,03:14:54,50.6,52.1,64.8,66.3,47.0,49.1,74,88,63,65,,,,,,,,,
2023-01-15T20:59:59-05:00,"Saturday, Jan 14, 2023","Sunday, Jan 15, 2023",2023-01-15 02:14:00,2023-01-15 09:15:00,07:01:00,01:06:00,00:00:00,1,05:55:00,07:31:42,84.3,87.6,03:41:54,05:27:04,00:42:36,02:47:56,59.0,52.2,72.4,66.4,49.0,48.7,81,89,65,67,,,,,,,,,
2023-01-16T20:59:59-05:00,"Sunday, Jan 15, 2023","Monday, Jan 16, 2023",2023-01-16 01:38:00,2023-01-16 07:09:00,11:29:00,01:03:00,00:00:00,2,10:26:00,07:57:51,83.7,85.8,08:22:19,05:50:52,05:47:38,03:15:42,50.4,52.3,67.3,66.8,45.0,48.9,53,83,48,64,,,,,,,,,
2023-01-17T20:59:59-05:00,"Monday, Jan 16, 2023","Tuesday, Jan 17, 2023",2023-01-17 01:38:00,2023-01-17 10:12:00,08:34:00,01:27:00,00:00:00,1,07:07:00,08:02:51,83.1,83.7,04:40:45,05:46:31,00:47:27,02:57:50,58.0,53.1,71.6,66.7,50.0,48.9,106,77,66,62,,,,,,,,,
2023-01-18T20:59:59-05:00,"Tuesday, Jan 17, 2023","Wednesday, Jan 18, 2023",2023-01-18 00:51:00,2023-01-18 07:26:00,23:35:00,01:37:00,00:00:00,3,21:58:00,10:07:42,92.2,84.9,14:43:29,07:12:38,06:44:48,03:38:10,59.3,54.3,65.0,67.1,49.0,49.0,99,82,47,60,,,,,,,,,
2023-01-19T20:59:59-05:00,"Wednesday, Jan 18, 2023","Thursday, Jan 19, 2023",2023-01-19 01:29:00,2023-01-19 08:56:00,07:27:00,00:14:00,00:00:00,1,07:13:00,10:18:17,96.9,87.0,04:43:17,07:16:25,02:03:43,03:35:46,52.3,54.4,73.4,68.6,47.0,48.7,75,82,70,62,,,,,,,,,
2023-01-20T20:59:59-05:00,"Thursday, Jan 19, 2023","Friday, Jan 20, 2023",2023-01-20 01:46:00,2023-01-20 08:40:00,06:54:00,02:10:00,00:00:00,1,04:44:00,09:53:51,68.6,84.3,03:12:40,06:59:03,01:39:24,03:26:45,53.2,54.7,65.7,68.6,46.0,47.6,89,82,65,61,,,,,,,,,
2023-01-21T20:59:59-05:00,"Friday, Jan 20, 2023","Saturday, Jan 21, 2023",2023-01-21 03:45:00,2023-01-21 12:08:00,08:23:00,00:00:00,00:00:00,1,08:23:00,09:23:42,100.0,87.0,05:49:29,06:27:42,02:17:11,02:51:49,50.8,54.7,77.5,70.4,48.0,47.7,94,85,55,59,,,,,,,,,
2023-01-22T20:59:59-05:00,"Saturday, Jan 21, 2023","Sunday, Jan 22, 2023",2023-01-22 02:45:00,2023-01-22 10:20:00,07:35:00,00:00:00,00:00:00,1,07:35:00,09:38:00,100.0,89.2,04:49:52,06:37:24,01:31:00,02:58:44,56.8,54.4,60.3,68.7,48.0,47.6,97,88,67,60,,,,,,,,,
2023-01-23T20:59:59-05:00,"Sunday, Jan 22, 2023","Monday, Jan 23, 2023",2023-01-23 02:06:00,2023-01-23 09:41:00,07:35:00,00:42:00,00:00:00,1,06:53:00,09:07:34,90.8,90.2,04:33:41,06:04:45,01:19:25,02:20:25,49.1,54.2,61.8,67.9,48.0,48.0,60,89,54,61,,,,,,,,,
